event_id,event_ts,device_id,site_id,temperature_c,battery_pct,signal_strength,alert_flag,alert_type
EVT_0005580,2024-01-12 21:02:44,DEV_0092,SITE_09,22.2,55.0,-81.8,False,
EVT_0007078,2024-01-12 18:27:25,DEV_0049,SITE_09,31.05,69.1,-67.3,False,
EVT_0002484,2024-01-14 14:58:08,DEV_0105,SITE_08,28.26,64.2,-41.9,False,
EVT_0008999,2024-01-08 07:05:38,DEV_0001,SITE_11,43.45,92.7,-65.2,False,
EVT_0009428,2024-01-10 22:43:40,DEV_0041,SITE_09,35.12,42.3,-69.3,False,
EVT_0003603,2024-01-09 21:53:23,DEV_0190,SITE_01,32.34,18.9,-999.0,False,
EVT_0001079,2024-01-14 17:24:33,DEV_0117,SITE_04,36.34,34.1,-34.8,False,
EVT_0004177,2024-01-12 23:05:14,DEV_0110,SITE_14,29.5,31.0,-91.2,False,
EVT_0002169,2024-01-09 03:57:15,DEV_0014,SITE_14,44.86,10.1,-56.9,True,motion_detected
EVT_0008521,2024-01-13 11:53:35,DEV_0191,SITE_08,41.78,82.4,-63.2,True,temp_high
EVT_0003466,2024-01-11 22:04:06,DEV_0157,SITE_13,39.87,31.8,-99.0,False,
EVT_0000248,2024-01-13 01:00:11,DEV_0197,SITE_07,27.71,56.1,-94.1,False,
EVT_0008292,2024-01-12 22:39:15,DEV_0077,SITE_12,33.39,92.0,-40.7,False,
EVT_0006002,2024-01-12 08:25:39,DEV_0123,SITE_08,32.01,61.3,-48.7,False,
EVT_0007338,2024-01-08 15:13:08,DEV_0190,SITE_01,15.55,73.5,-66.5,False,
EVT_0002743,2024-01-13 02:24:20,DEV_0117,SITE_04,19.13,,-41.9,False,
EVT_0003955,2024-01-14 22:01:11,DEV_0056,SITE_01,18.29,39.6,-63.5,False,
EVT_0001140,2024-01-13 05:04:03,DEV_0083,SITE_15,38.73,,-74.0,False,
EVT_0009752,2024-01-08 12:46:35,DEV_0148,SITE_05,30.75,52.3,-88.7,True,temp_high
EVT_0008207,2024-01-09 09:38:55,DEV_0045,SITE_15,30.21,27.9,-38.5,False,
EVT_0008859,2024-01-08 03:15:10,DEV_0155,SITE_12,33.86,63.3,999.0,False,
EVT_0007210,2024-01-11 00:48:27,DEV_0007,SITE_03,35.67,25.6,-82.6,False,
EVT_0003459,2024-01-12 16:51:47,DEV_0194,SITE_01,19.58,39.1,-44.1,False,
EVT_0010078,2024-01-13 18:01:20,DEV_0130,SITE_08,37.3,45.8,-85.8,False,
EVT_0006533,2024-01-13 23:55:47,DEV_0027,SITE_14,15.42,27.5,-97.4,False,
EVT_0007112,2024-01-08 07:36:54,DEV_0132,SITE_11,44.56,94.5,-80.8,False,
EVT_0007357,2024-01-08 09:38:32,DEV_0200,SITE_14,17.63,78.3,-84.1,False,
EVT_0011692,2024-01-13 11:59:03,DEV_0194,SITE_01,19.31,,-61.8,False,
EVT_0010021,2024-01-10 05:01:04,DEV_0014,SITE_14,39.65,63.8,999.0,False,
EVT_0004005,2024-01-08 18:17:12,DEV_0168,SITE_08,31.79,31.9,-63.6,False,
EVT_0000430,2024-01-08 02:04:18,DEV_0002,SITE_03,32.34,24.5,-71.4,True,battery_low
EVT_0011886,2024-01-14 14:36:30,DEV_0191,SITE_08,24.22,42.9,-94.6,False,
EVT_0006462,2024-01-10 02:18:07,DEV_0131,SITE_06,24.33,75.2,-98.5,False,
EVT_0008442,2024-01-10 03:20:58,DEV_0115,SITE_05,40.17,55.7,999.0,True,offline
EVT_0001513,2024-01-08 03:39:48,DEV_0136,SITE_01,15.14,,-60.6,False,
EVT_0006391,2024-01-12 20:57:23,DEV_0154,SITE_09,42.27,89.5,-71.2,False,
EVT_0008682,2024-01-13 08:30:26,DEV_0077,SITE_12,16.42,57.2,-36.5,False,
EVT_0006322,2024-01-13 10:19:20,DEV_0136,SITE_01,24.22,23.6,-59.8,False,
EVT_0006054,2024-01-12 05:35:55,DEV_0138,SITE_11,29.14,93.5,-55.0,False,
EVT_0000851,2024-01-14 03:02:21,DEV_0054,SITE_07,43.72,37.6,-47.3,False,
EVT_0004949,2024-01-09 13:44:44,DEV_0133,SITE_01,16.35,83.7,-51.5,True,battery_low
EVT_0011036,2024-01-12 05:40:00,DEV_0105,SITE_08,15.07,30.1,-76.4,False,
EVT_0011312,2024-01-13 05:07:37,DEV_0160,SITE_03,27.91,22.7,-75.3,False,
EVT_0007755,2024-01-10 12:35:35,DEV_0044,SITE_11,42.6,53.9,-70.7,True,offline
EVT_0003220,2024-01-12 22:20:22,DEV_0175,SITE_15,27.41,50.5,-93.7,False,
EVT_0009644,2024-01-13 02:11:14,DEV_0082,SITE_13,32.13,80.0,-51.1,False,
EVT_0001571,2024-01-12 13:16:03,DEV_0070,SITE_03,25.07,79.5,-76.1,False,
EVT_0007054,2024-01-14 01:05:02,DEV_0101,SITE_13,43.26,77.4,-50.1,False,
EVT_0004620,2024-01-09 05:22:46,DEV_0148,SITE_05,26.62,44.0,-95.1,False,
EVT_0002055,2024-01-11 20:53:43,DEV_0079,SITE_06,43.94,62.8,-83.0,False,
EVT_0010456,2024-01-14 05:10:12,DEV_0173,SITE_12,34.25,,-65.3,True,temp_high
EVT_0003034,2024-01-10 16:09:47,DEV_0184,SITE_03,17.21,8.5,-61.6,False,
EVT_0008766,2024-01-14 18:38:58,DEV_0187,SITE_05,29.64,34.0,-35.1,False,
EVT_0007158,2024-01-10 04:35:26,DEV_0083,SITE_15,22.87,,-49.1,False,
EVT_0007746,2024-01-12 19:01:24,DEV_0137,SITE_12,36.6,35.7,-69.1,True,battery_low
EVT_0005358,2024-01-08 18:07:40,DEV_0164,SITE_02,19.66,21.4,-32.8,False,
EVT_0010632,2024-01-11 17:41:56,DEV_0127,SITE_08,41.82,36.6,-57.1,True,battery_low
EVT_0009547,2024-01-13 16:20:34,DEV_0023,SITE_07,24.01,80.5,-74.8,True,temp_high
EVT_0003266,2024-01-13 19:06:13,DEV_0021,SITE_15,24.67,36.3,-35.3,False,
EVT_0011059,2024-01-11 00:22:38,DEV_0093,SITE_01,37.68,20.6,-81.3,False,
EVT_0010761,2024-01-08 19:27:12,DEV_0135,SITE_03,25.94,8.0,-51.0,False,
EVT_0007387,2024-01-13 06:13:23,DEV_0192,SITE_03,23.62,58.1,-90.6,False,
EVT_0002620,2024-01-10 11:31:15,DEV_0107,SITE_04,24.14,70.9,-64.7,False,
EVT_0008882,2024-01-08 12:30:12,DEV_0026,SITE_10,16.19,8.1,-48.7,False,
EVT_0000201,2024-01-08 20:08:37,DEV_0075,SITE_05,39.57,52.4,-83.1,False,
EVT_0003066,2024-01-12 02:13:16,DEV_0177,SITE_03,41.0,80.1,-95.8,True,battery_low
EVT_0008068,2024-01-11 06:58:19,DEV_0083,SITE_15,44.74,9.7,-31.4,False,
EVT_0010771,2024-01-11 11:31:10,DEV_0188,SITE_06,25.47,88.1,-46.1,False,
EVT_0004093,2024-01-08 17:36:18,DEV_0028,SITE_09,38.58,51.2,-66.8,True,offline
EVT_0007832,2024-01-09 11:01:04,DEV_0027,SITE_14,41.13,31.8,-31.2,False,
EVT_0005351,2024-01-10 21:57:24,DEV_0181,SITE_02,27.23,45.5,-79.6,False,
EVT_0010476,2024-01-10 06:02:46,DEV_0011,SITE_10,17.01,10.5,-38.5,False,
EVT_0003108,2024-01-12 14:47:31,DEV_0189,SITE_07,33.01,72.1,-70.0,False,
EVT_0010513,2024-01-12 05:43:41,DEV_0015,SITE_11,43.81,57.5,-42.4,True,offline
EVT_0011146,2024-01-10 21:00:36,DEV_0080,SITE_11,23.69,12.7,-68.5,False,
EVT_0002997,2024-01-11 00:04:44,DEV_0062,SITE_06,32.36,20.5,-72.0,False,
EVT_0007926,2024-01-14 13:55:17,DEV_0188,SITE_06,37.4,25.2,-95.7,False,
EVT_0006534,2024-01-12 01:30:34,DEV_0177,SITE_03,26.09,34.3,-81.6,False,
EVT_0002475,2024-01-10 10:24:02,DEV_0045,SITE_15,44.51,,-97.9,True,motion_detected
EVT_0002808,2024-01-08 14:58:22,DEV_0124,SITE_13,34.54,93.9,-44.5,False,
EVT_0004692,2024-01-14 05:41:25,DEV_0035,SITE_15,15.53,69.4,999.0,False,
EVT_0006609,2024-01-14 11:44:34,DEV_0090,SITE_05,16.77,48.7,-31.0,False,
EVT_0005332,2024-01-08 01:58:02,DEV_0087,SITE_07,34.5,15.6,-80.0,True,temp_high
EVT_0006479,2024-01-09 00:13:00,DEV_0029,SITE_07,39.67,,-54.0,True,motion_detected
EVT_0001587,2024-01-13 15:25:28,DEV_0105,SITE_08,41.4,94.8,-39.2,False,
EVT_0003502,2024-01-13 14:42:53,DEV_0082,SITE_13,33.23,37.2,-43.2,True,battery_low
EVT_0011744,2024-01-09 05:14:45,DEV_0027,SITE_14,29.14,31.6,-83.2,False,
EVT_0002911,2024-01-14 05:06:58,DEV_0180,SITE_15,28.35,5.3,-43.1,False,
EVT_0005157,2024-01-08 15:06:06,DEV_0117,SITE_04,29.63,,-999.0,False,
EVT_0001069,2024-01-12 16:08:39,DEV_0047,SITE_07,25.58,97.4,-55.4,False,
EVT_0005503,2024-01-09 07:03:31,DEV_0105,SITE_08,39.22,,-52.8,True,battery_low
EVT_0003964,2024-01-11 04:02:54,DEV_0069,SITE_14,44.82,67.6,-30.2,False,
EVT_0000968,2024-01-14 02:59:08,DEV_0184,SITE_03,15.95,84.1,-30.9,False,
EVT_0003091,2024-01-14 07:51:00,DEV_0022,SITE_12,40.53,46.4,-84.2,False,
EVT_0003853,2024-01-14 03:03:40,DEV_0169,SITE_10,36.03,85.4,-50.7,False,
EVT_0006307,2024-01-08 14:21:58,DEV_0144,SITE_08,43.84,72.7,-35.2,False,
EVT_0007360,2024-01-09 12:22:03,DEV_0080,SITE_11,16.64,81.5,-57.7,False,
EVT_0001845,2024-01-13 16:50:53,DEV_0022,SITE_12,26.32,32.6,-43.0,False,
EVT_0004140,2024-01-12 07:13:20,DEV_0169,SITE_10,18.29,14.5,-65.1,False,
EVT_0005083,2024-01-08 14:06:28,DEV_0155,SITE_12,26.26,82.1,-89.6,True,motion_detected
EVT_0011452,2024-01-09 19:07:20,DEV_0050,SITE_08,40.56,17.7,-74.8,False,
EVT_0003275,2024-01-08 14:21:49,DEV_0112,SITE_15,43.65,97.2,-44.4,False,
EVT_0004919,2024-01-12 04:12:24,DEV_0133,SITE_01,43.29,21.6,-91.9,False,
EVT_0002589,2024-01-08 15:19:30,DEV_0088,SITE_05,43.89,11.3,-54.7,False,
EVT_0010927,2024-01-09 02:08:38,DEV_0024,SITE_02,42.16,,-75.4,True,temp_high
EVT_0005373,2024-01-11 06:09:14,DEV_0049,SITE_09,38.24,,-39.0,False,
EVT_0002222,2024-01-14 03:17:08,DEV_0196,SITE_03,39.21,8.7,999.0,False,
EVT_0005196,2024-01-08 20:09:48,DEV_0108,SITE_14,40.89,,-65.7,True,temp_high
EVT_0010338,2024-01-14 13:16:34,DEV_0132,SITE_11,41.19,63.0,-57.8,False,
EVT_0001369,2024-01-11 10:59:11,DEV_0174,SITE_04,23.18,,-90.9,False,
EVT_0005583,2024-01-09 12:38:02,DEV_0160,SITE_03,27.18,32.4,-68.1,False,
EVT_0005212,2024-01-13 04:55:32,DEV_0021,SITE_15,41.89,14.1,-67.3,False,
EVT_0006652,2024-01-11 00:02:17,DEV_0047,SITE_07,40.78,60.8,-30.9,False,
EVT_0005307,2024-01-10 18:07:02,DEV_0014,SITE_14,31.86,,-55.4,False,
EVT_0002349,2024-01-08 00:09:30,DEV_0057,SITE_08,31.69,88.1,-76.9,False,
EVT_0007040,2024-01-08 01:39:27,DEV_0117,SITE_04,37.69,59.5,-52.8,False,
EVT_0010264,2024-01-08 23:36:55,DEV_0005,SITE_12,34.73,22.6,-32.4,False,
EVT_0003754,2024-01-13 10:08:53,DEV_0166,SITE_05,21.14,79.4,-77.7,False,
EVT_0006248,2024-01-14 17:20:21,DEV_0110,SITE_14,30.37,54.6,-89.5,False,
EVT_0005764,2024-01-08 07:17:54,DEV_0102,SITE_04,42.03,98.8,-63.6,False,
EVT_0008858,2024-01-10 08:11:39,DEV_0160,SITE_03,33.42,41.6,-36.7,False,
EVT_0007967,2024-01-10 00:24:11,DEV_0054,SITE_07,42.08,88.0,-89.7,False,
EVT_0004016,2024-01-11 05:33:43,DEV_0035,SITE_15,26.51,10.0,-83.9,False,
EVT_0010845,2024-01-11 14:23:52,DEV_0121,SITE_06,44.43,51.9,-99.5,False,
EVT_0009189,2024-01-11 10:39:12,DEV_0060,SITE_10,38.39,25.1,0.0,False,
EVT_0001826,2024-01-08 07:57:27,DEV_0200,SITE_14,38.26,73.7,-88.5,False,
EVT_0002532,2024-01-10 12:09:18,DEV_0181,SITE_02,43.29,92.5,-51.6,False,
EVT_0011564,2024-01-08 23:34:13,DEV_0154,SITE_09,39.35,26.6,-72.3,False,
EVT_0004376,2024-01-09 16:03:45,DEV_0186,SITE_02,31.45,70.5,-90.9,False,
EVT_0004554,2024-01-13 17:02:43,DEV_0087,SITE_07,40.6,43.2,-99.5,False,
EVT_0010261,2024-01-13 14:26:11,DEV_0184,SITE_03,19.98,98.5,-37.8,False,
EVT_0008874,2024-01-10 06:26:35,DEV_0051,SITE_14,38.37,97.1,-73.1,False,
EVT_0010365,2024-01-14 02:35:13,DEV_0007,SITE_03,36.14,38.0,-96.1,False,
EVT_0004004,2024-01-10 05:52:03,DEV_0011,SITE_10,42.29,56.6,-63.7,False,
EVT_0008067,2024-01-11 07:15:04,DEV_0045,SITE_15,29.79,60.6,-74.0,False,
EVT_0000674,2024-01-08 10:06:13,DEV_0182,SITE_01,34.97,47.6,-62.6,False,
EVT_0003007,2024-01-08 13:59:43,DEV_0019,SITE_07,39.82,23.4,-65.8,False,
EVT_0006762,2024-01-13 19:40:53,DEV_0094,SITE_09,35.76,37.7,-56.7,True,motion_detected
EVT_0007198,2024-01-14 12:25:22,DEV_0186,SITE_02,35.42,72.1,-81.7,True,temp_high
EVT_0011801,2024-01-08 23:14:28,DEV_0070,SITE_03,41.75,,-55.5,False,
EVT_0010155,2024-01-10 06:38:18,DEV_0088,SITE_05,32.73,71.6,-85.4,False,
EVT_0002890,2024-01-13 01:31:35,DEV_0144,SITE_08,40.6,56.7,999.0,False,
EVT_0002778,2024-01-11 09:39:44,DEV_0134,SITE_02,33.32,85.2,-84.1,False,
EVT_0004739,2024-01-08 16:09:26,DEV_0183,SITE_03,41.13,13.6,-74.5,False,
EVT_0002612,2024-01-12 11:06:45,DEV_0018,SITE_13,34.77,40.4,-57.4,False,
EVT_0000136,2024-01-13 18:33:26,DEV_0105,SITE_08,29.32,35.5,-36.4,False,
EVT_0004123,2024-01-10 09:38:35,DEV_0188,SITE_06,34.55,61.1,-55.2,False,
EVT_0003510,2024-01-10 08:16:42,DEV_0036,SITE_13,30.93,84.1,-46.5,False,
EVT_0006754,2024-01-13 00:51:53,DEV_0039,SITE_11,22.6,11.0,-54.5,False,
EVT_0011027,2024-01-09 10:32:16,DEV_0126,SITE_01,22.75,,-999.0,False,
EVT_0008386,2024-01-14 20:55:04,DEV_0188,SITE_06,23.27,54.0,-62.1,False,
EVT_0010116,2024-01-12 08:29:41,DEV_0189,SITE_07,42.23,20.7,-79.5,True,temp_high
EVT_0008098,2024-01-09 09:09:48,DEV_0056,SITE_01,19.35,94.1,-56.9,False,
EVT_0007274,2024-01-08 08:23:32,DEV_0198,SITE_03,30.25,18.4,-86.1,False,
EVT_0007959,2024-01-10 14:08:35,DEV_0056,SITE_01,32.04,77.4,-89.0,False,
EVT_0009321,2024-01-09 09:02:53,DEV_0087,SITE_07,44.99,58.3,-76.5,False,
EVT_0002222,2024-01-14 03:17:08,DEV_0196,SITE_03,39.21,8.7,999.0,False,
EVT_0005268,2024-01-12 06:11:11,DEV_0177,SITE_03,21.86,15.6,-86.9,False,
EVT_0007498,2024-01-10 14:30:15,DEV_0023,SITE_07,39.92,,-96.0,False,
EVT_0004606,2024-01-10 14:53:53,DEV_0079,SITE_06,32.43,6.7,-45.8,False,
EVT_0007455,2024-01-12 04:43:44,DEV_0069,SITE_14,23.94,,-34.0,False,
EVT_0001840,2024-01-08 19:05:12,DEV_0173,SITE_12,19.25,74.0,-54.8,False,
EVT_0007677,2024-01-08 09:21:19,DEV_0198,SITE_03,24.72,39.5,-53.9,False,
EVT_0011179,2024-01-08 00:42:50,DEV_0022,SITE_12,27.86,56.2,-36.1,False,
EVT_0010594,2024-01-14 07:20:23,DEV_0001,SITE_11,19.75,68.5,-35.1,False,
EVT_0010267,2024-01-09 06:18:20,DEV_0042,SITE_12,20.31,39.1,-98.2,False,
EVT_0003493,2024-01-14 20:27:51,DEV_0170,SITE_04,36.91,40.5,-60.3,False,
EVT_0009278,2024-01-12 23:00:27,DEV_0038,SITE_04,38.45,50.4,-46.2,False,
EVT_0006342,2024-01-12 07:52:41,DEV_0060,SITE_10,21.33,77.0,-74.4,False,
EVT_0009248,2024-01-14 02:08:41,DEV_0136,SITE_01,24.49,7.8,-78.5,False,
EVT_0003835,2024-01-13 01:09:49,DEV_0140,SITE_07,36.44,,-63.9,False,
EVT_0001415,2024-01-09 22:00:14,DEV_0044,SITE_11,33.3,98.2,-44.8,False,
EVT_0001040,2024-01-12 15:51:43,DEV_0054,SITE_07,17.62,,-38.1,True,battery_low
EVT_0009694,2024-01-14 00:43:08,DEV_0197,SITE_07,41.7,29.1,-48.4,False,
EVT_0010937,2024-01-14 19:27:22,DEV_0104,SITE_04,31.67,90.4,-52.8,True,battery_low
EVT_0005404,2024-01-14 21:09:24,DEV_0071,SITE_03,29.6,33.2,-43.8,True,offline
EVT_0010149,2024-01-12 05:14:51,DEV_0184,SITE_03,40.84,89.2,-73.6,False,
EVT_0000150,2024-01-09 02:29:18,DEV_0126,SITE_01,41.97,,-70.9,False,
EVT_0004790,2024-01-10 10:23:39,DEV_0196,SITE_03,35.72,75.5,-56.1,False,
EVT_0002343,2024-01-14 22:18:33,DEV_0176,SITE_11,23.53,23.4,-64.7,False,
EVT_0001351,2024-01-10 03:53:33,DEV_0156,SITE_02,38.04,83.2,-47.4,False,
EVT_0000451,2024-01-13 20:28:38,DEV_0011,SITE_10,26.14,88.7,-80.8,False,
EVT_0007373,2024-01-09 02:53:56,DEV_0126,SITE_01,26.59,52.3,-48.9,False,
EVT_0000748,2024-01-11 15:38:23,DEV_0066,SITE_05,17.71,25.0,-35.9,False,
EVT_0011617,2024-01-13 00:59:35,DEV_0123,SITE_08,20.17,53.7,-56.8,False,
EVT_0006904,2024-01-13 23:24:15,DEV_0140,SITE_07,30.53,62.0,-31.2,False,
EVT_0000933,2024-01-10 19:45:03,DEV_0004,SITE_09,15.64,27.5,-83.0,False,
EVT_0004767,2024-01-12 05:57:58,DEV_0135,SITE_03,30.72,61.6,-36.8,False,
EVT_0002040,2024-01-09 04:21:29,DEV_0158,SITE_05,27.87,71.2,-44.9,False,
EVT_0008525,2024-01-10 22:33:12,DEV_0036,SITE_13,31.48,49.7,-48.8,False,
EVT_0007586,2024-01-12 13:51:00,DEV_0052,SITE_02,44.19,95.7,-46.6,True,temp_high
EVT_0001321,2024-01-10 09:02:28,DEV_0003,SITE_07,28.26,,-93.4,False,
EVT_0000305,2024-01-12 18:59:41,DEV_0021,SITE_15,42.08,90.5,-52.6,False,
EVT_0006021,2024-01-09 14:37:04,DEV_0007,SITE_03,39.6,60.6,-75.1,True,offline
EVT_0009955,2024-01-10 13:51:12,DEV_0155,SITE_12,26.28,73.1,-47.1,True,offline
EVT_0007820,2024-01-14 04:30:49,DEV_0130,SITE_08,34.55,,-36.3,False,
EVT_0006159,2024-01-14 15:11:09,DEV_0188,SITE_06,24.41,36.3,-79.6,False,
EVT_0000219,2024-01-10 08:50:06,DEV_0035,SITE_15,39.46,52.0,-70.9,False,
EVT_0004882,2024-01-12 13:37:34,DEV_0194,SITE_01,29.37,75.5,-999.0,True,motion_detected
EVT_0001492,2024-01-14 12:46:39,DEV_0144,SITE_08,20.34,,-50.2,False,
EVT_0004886,2024-01-14 08:39:25,DEV_0134,SITE_02,32.84,74.2,-93.1,False,
EVT_0006811,2024-01-12 03:10:55,DEV_0103,SITE_11,43.22,55.4,-78.2,False,
EVT_0007336,2024-01-12 05:08:44,DEV_0101,SITE_13,42.41,9.8,-73.8,False,
EVT_0004520,2024-01-08 01:38:30,DEV_0065,SITE_10,32.71,98.8,-54.2,False,
EVT_0006235,2024-01-11 11:32:54,DEV_0108,SITE_14,27.71,34.2,-53.9,False,
EVT_0006728,2024-01-12 23:30:54,DEV_0038,SITE_04,30.52,49.6,-55.9,False,
EVT_0000539,2024-01-13 22:42:21,DEV_0113,SITE_12,35.64,45.6,-57.4,False,
EVT_0005182,2024-01-12 12:43:36,DEV_0072,SITE_06,27.43,,-71.8,False,
EVT_0006102,2024-01-14 03:38:10,DEV_0085,SITE_04,33.93,11.0,-98.6,True,motion_detected
EVT_0000380,2024-01-10 17:20:02,DEV_0144,SITE_08,37.27,79.5,-79.9,False,
EVT_0004116,2024-01-09 12:17:57,DEV_0154,SITE_09,22.42,36.1,-92.9,False,
EVT_0004871,2024-01-08 09:07:50,DEV_0119,SITE_07,33.51,80.0,-38.5,True,temp_high
EVT_0005207,2024-01-08 07:40:11,DEV_0006,SITE_13,23.27,,-78.6,False,
EVT_0006070,2024-01-08 13:30:39,DEV_0110,SITE_14,18.69,89.4,-74.1,False,
EVT_0008383,2024-01-09 18:25:13,DEV_0135,SITE_03,43.72,97.5,-67.7,False,
EVT_0002237,2024-01-09 02:35:59,DEV_0172,SITE_12,32.29,61.1,-65.2,False,
EVT_0001935,2024-01-12 01:10:19,DEV_0181,SITE_02,32.46,,-85.3,False,
EVT_0006863,2024-01-08 10:51:23,DEV_0151,SITE_12,20.53,76.1,-79.6,False,
EVT_0003711,2024-01-14 23:41:19,DEV_0028,SITE_09,41.07,,-77.5,True,temp_high
EVT_0001214,2024-01-08 19:33:35,DEV_0036,SITE_13,28.17,59.1,-63.8,False,
EVT_0002860,2024-01-13 05:04:16,DEV_0111,SITE_11,20.8,,-33.4,False,
EVT_0004839,2024-01-11 12:52:55,DEV_0113,SITE_12,28.03,80.4,-59.4,False,
EVT_0006843,2024-01-11 14:14:19,DEV_0071,SITE_03,18.26,81.7,-96.1,False,
EVT_0009944,2024-01-13 04:51:33,DEV_0176,SITE_11,15.22,67.7,-56.3,False,
EVT_0006454,2024-01-09 03:18:23,DEV_0014,SITE_14,23.56,40.2,-55.6,True,temp_high
EVT_0009924,2024-01-14 18:37:55,DEV_0162,SITE_01,34.23,34.4,-40.4,False,
EVT_0000312,2024-01-09 17:53:59,DEV_0104,SITE_04,33.55,42.6,-51.7,False,
EVT_0010197,2024-01-11 17:55:46,DEV_0121,SITE_06,38.44,97.0,-76.1,False,
EVT_0006873,2024-01-08 00:33:50,DEV_0173,SITE_12,44.35,16.5,-43.6,True,temp_high
EVT_0008423,2024-01-11 00:04:06,DEV_0086,SITE_13,38.49,53.6,-43.3,True,temp_high
EVT_0008643,2024-01-12 11:11:27,DEV_0153,SITE_04,42.69,,-94.2,False,
EVT_0000071,2024-01-10 00:12:59,DEV_0178,SITE_08,36.64,27.6,-80.1,True,offline
EVT_0011736,2024-01-08 02:34:55,DEV_0182,SITE_01,26.85,95.4,-68.5,True,battery_low
EVT_0004300,2024-01-12 04:55:56,DEV_0049,SITE_09,16.48,,-58.0,False,
EVT_0005387,2024-01-08 06:57:52,DEV_0172,SITE_12,42.68,70.3,-85.8,False,
EVT_0003847,2024-01-08 19:53:29,DEV_0028,SITE_09,35.72,91.0,-48.2,False,
EVT_0008295,2024-01-11 14:22:58,DEV_0145,SITE_04,34.78,29.1,-64.5,False,
EVT_0011531,2024-01-09 07:33:39,DEV_0114,SITE_14,20.45,33.9,-39.8,False,
EVT_0009057,2024-01-10 22:32:47,DEV_0103,SITE_11,23.32,20.9,-88.4,False,
EVT_0007364,2024-01-10 06:47:38,DEV_0142,SITE_06,37.46,88.6,-91.7,False,
EVT_0004618,2024-01-13 05:02:47,DEV_0081,SITE_07,33.75,50.0,-88.7,False,
EVT_0001189,2024-01-11 13:26:31,DEV_0145,SITE_04,16.61,68.7,-46.6,False,
EVT_0007898,2024-01-14 04:48:44,DEV_0068,SITE_12,32.7,54.5,-42.4,False,
EVT_0011544,2024-01-08 22:24:45,DEV_0185,SITE_08,26.58,,0.0,False,
EVT_0007189,2024-01-13 14:38:35,DEV_0160,SITE_03,21.37,54.7,-99.9,False,
EVT_0010294,2024-01-08 08:20:16,DEV_0033,SITE_15,39.97,46.5,-58.9,False,
EVT_0008827,2024-01-11 10:32:17,DEV_0073,SITE_05,19.57,97.4,-69.0,False,
EVT_0004774,2024-01-08 03:34:51,DEV_0083,SITE_15,24.59,26.9,-74.5,False,
EVT_0007713,2024-01-14 15:07:32,DEV_0055,SITE_12,28.64,,-88.8,True,motion_detected
EVT_0000294,2024-01-13 00:35:29,DEV_0043,SITE_14,29.79,14.6,-39.5,False,
EVT_0003996,2024-01-13 20:52:27,DEV_0169,SITE_10,35.98,53.4,-45.2,False,
